happines;sadness;anger;surprise;fear;disgust;neutral
131,4;108,2;174,1;161,4;118,9;113,2;111,8
181,2;97,5;161,1;157,8;182,1;149,3;101,4
122,7;87,1;158,2;160,9;174,2;105,3;86,2
164,5;111,4;172;148,9;172,1;124,5;110,2
148,5;119;169,8;147,2;172,1;137,4;100,1
170,2;84,3;151;129,1;172,6;138,1;89,5
157,8;95,1;180,2;142,8;166,5;154,7;102,5
159,9;119,8;171,9;122;186;131,7;127,1
162,5;92,2;179,5;150,1;185,6;114,7;99,2
189,2;147,1;190;174,1;164,6;159,2;147,5
194;138,1;180,9;154,4;182,6;147,1;142,2
175,1;127,4;172,9;140,6;168,1;135,7;131,4
